code,date,time,floor,type,basicPrice,ceilingPrice,floorPrice,open,high,low,close,average,adOpen,adHigh,adLow,adClose,adAverage,nmVolume,nmValue,ptVolume,ptValue,change,adChange,pctChange
DIG,2022-05-17,15:05:02,HOSE,STOCK,48.5,51.8,45.15,48.5,51.8,48.0,51.8,50.39,39.755,42.46,39.346,42.46,41.305,6108200.0,307775000000.0,0.0,0.0,3.3,2.705,6.8041
DIG,2022-05-16,15:05:02,HOSE,STOCK,49.15,52.5,45.75,52.0,52.2,48.5,48.5,50.65,42.624,42.788,39.755,39.755,41.518,7130300.0,361115125000.0,0.0,0.0,-0.65,-0.5328,-1.3225
DIG,2022-05-13,15:05:03,HOSE,STOCK,52.8,56.4,49.15,52.5,52.5,49.15,49.15,49.89,43.034,43.034,40.288,40.288,40.895,12420600.0,619662680000.0,0.0,0.0,-3.65,-2.9919,-6.9129
DIG,2022-05-12,15:05:04,HOSE,STOCK,56.7,60.6,52.8,56.9,57.9,52.8,52.8,55.54,46.641,47.461,43.28,43.28,45.526,9288300.0,515904670000.0,0.0,0.0,-3.9,-3.1968,-6.8783
DIG,2022-05-11,15:05:03,HOSE,STOCK,53.0,56.7,49.3,55.0,56.7,50.5,56.7,54.135,45.084,46.477,41.395,46.477,44.374,11641300.0,630203690000.0,0.0,0.0,3.7,3.0329,6.9811
DIG,2022-05-10,15:05:03,HOSE,STOCK,50.4,53.9,46.9,47.1,53.0,46.9,53.0,48.36,38.608,43.444,38.444,43.444,39.641,14106500.0,682145590000.0,0.0,0.0,2.6,2.1312,5.1587
DIG,2022-05-09,15:05:02,HOSE,STOCK,54.1,57.8,50.4,52.5,52.9,50.4,50.4,50.91,43.034,43.362,41.313,41.313,41.731,8771200.0,446510060000.0,0.0,0.0,-3.7,-3.0329,-6.8392
DIG,2022-05-06,15:05:04,HOSE,STOCK,58.1,62.1,54.1,56.0,57.5,54.1,54.1,55.71,45.903,47.133,44.346,44.346,45.665,7020300.0,391068350000.0,0.0,0.0,-4.0,-3.2788,-6.8847
DIG,2022-05-05,15:05:03,HOSE,STOCK,61.0,65.2,56.8,62.4,62.7,56.9,58.1,59.5,51.149,51.395,46.641,47.625,48.772,7119400.0,423580080000.0,0.0,0.0,-2.9,-2.3772,-4.7541
DIG,2022-05-04,15:05:03,HOSE,STOCK,65.0,69.5,60.5,63.5,64.8,61.0,61.0,62.49,52.051,53.117,50.002,50.002,51.223,7016700.0,438508140000.0,0.0,0.0,-4.0,-3.2788,-6.1538
DIG,2022-04-29,15:04:02,HOSE,STOCK,61.8,66.1,57.5,61.0,66.0,61.0,65.0,63.49,50.002,54.1,50.002,53.281,52.043,7752100.0,492158430000.0,0.0,0.0,3.2,2.6231,5.178
DIG,2022-04-28,15:04:02,HOSE,STOCK,64.4,68.9,59.9,64.5,65.7,61.5,61.8,63.75,52.871,53.854,50.412,50.657,52.256,6421200.0,409377190000.0,0.0,0.0,-2.6,-2.1312,-4.0373
DIG,2022-04-27,15:04:04,HOSE,STOCK,60.2,64.4,56.0,61.0,64.4,56.1,64.4,60.64,50.002,52.789,45.985,52.789,49.707,10375100.0,629151250000.0,0.0,0.0,4.2,3.4428,6.9767
DIG,2022-04-26,15:04:03,HOSE,STOCK,56.3,60.2,52.4,52.4,60.2,52.4,60.2,54.24,42.952,49.346,42.952,49.346,44.461,10288800.0,558054310000.0,0.0,0.0,3.9,3.1968,6.9272
DIG,2022-04-25,15:04:03,HOSE,STOCK,60.5,64.7,56.3,62.0,62.8,56.3,56.3,58.74,50.821,51.477,46.149,46.149,48.149,7833700.0,460131310000.0,0.0,0.0,-4.2,-3.4427,-6.9421
